sciname,comname,category,value
Pilea pumila,Canada clearweed,Plantae,5
Epigaea repens,trailing arbutus,Plantae,5
Monarda fistulosa,wild bergamot,Plantae,5
Lysimachia borealis,starflower,Plantae,5
Chironomidae,Non-biting Midges,Insecta,5
Lycopus,water horehounds,Plantae,5
Euonymus,spindles,Plantae,5
Polyporales,shelf fungi,Fungi,5
Eriophorum,Cottongrass,Plantae,5
Prunus serotina,black cherry,Plantae,5
Plantae,plants,Plantae,5
Ailanthus altissima,tree-of-heaven,Plantae,5
Phymata,Jagged Ambush Bugs,Insecta,4
Araneidae,Orbweavers,Arachnida,4
Houstonia caerulea,azure bluet,Plantae,4
Phytolacca americana,American pokeweed,Plantae,4
Picea abies,Norway spruce,Plantae,4
Sassafras albidum,sassafras,Plantae,4
Cardamine impatiens,narrow-leaved bittercress,Plantae,4
Dactylis glomerata,orchard grass,Plantae,4
Oxalis montana,mountain woodsorrel,Plantae,4
Conocephalus,Lesser Meadow Katydids,Insecta,4
Amauropelta noveboracensis,New York fern,Plantae,4
Liriodendron tulipifera,tulip tree,Plantae,4
Comptonia peregrina,sweetfern,Plantae,4
Papilio glaucus,Eastern Tiger Swallowtail,Insecta,4
Asclepias exaltata,poke milkweed,Plantae,4
Betula populifolia,gray birch,Plantae,4
Ilex verticillata,winterberry holly,Plantae,4
Lonicera,honeysuckles,Plantae,4
Spiraea,meadowsweet,Plantae,4
Spiraea alba,white meadowsweet,Plantae,4
Impatiens,jewelweeds and impatiens,Plantae,4
Polytrichaceae,aloe-mosses,Plantae,4
Erechtites hieraciifolius,fireweed,Plantae,4
Lysimachia quadrifolia,whorled loosestrife,Plantae,4
Tharsalea epixanthe,Bog Copper,Insecta,4
Thomisidae,Crab Spiders,Arachnida,4
Maianthemum canadense,Canada mayflower,Plantae,4
Maianthemum racemosum,false Solomon's seal,Plantae,4
Potentilla simplex,common cinquefoil,Plantae,4
Erigeron,Fleabanes and Horseweeds,Plantae,4
Prunella vulgaris,common selfheal,Plantae,4
Erigeron philadelphicus,Philadelphia fleabane,Plantae,4
Actaea pachypoda,white baneberry,Plantae,4
Prunus,"plums, cherries, and allies",Plantae,4
Megacollybia rodmanii,Eastern American Platterful Mushroom,Fungi,4
Chrysopilus thoracicus,Golden-backed Snipe Fly,Insecta,4
Trametes versicolor,turkey-tail,Fungi,4
Crassostrea virginica,Eastern Oyster,Mollusca,4
Pseudeuophrys erratica,Black-palped Jumping Spider,Arachnida,4
Calopteryx maculata,Ebony Jewelwing,Insecta,4
Crepidotus,Oysterlings,Fungi,4
Amblycorypha,Round-headed Katydids,Insecta,4
Tussilago farfara,colt's-foot,Plantae,4
Pteridium aquilinum,common bracken,Plantae,4
Acrididae,Short-horned Grasshoppers,Insecta,4
Vaccinium,"blueberries, cranberries, and allies",Plantae,4
Vasates aceriscrumena,Maple Spindle Gall Mite,Arachnida,4
Verbascum thapsus,great mullein,Plantae,4
Anthophila,Bees,Insecta,4
Quercus alba,white oak,Plantae,4
Euthamia graminifolia,flat-topped goldenrod,Plantae,4
Quercus montana,chestnut oak,Plantae,4
Fabaceae,legumes,Plantae,4
Kalmia latifolia,mountain laurel,Plantae,4
Ranunculus acris,meadow buttercup,Plantae,4
Asplenium platyneuron,ebony spleenwort,Plantae,4
Phalaris arundinacea,reed canary grass,Plantae,4
Baptisia tinctoria,horsefly weed,Plantae,4
Noctuinae,Cutworms and Dart Moths,Insecta,4
Diptera,Flies,Insecta,4
Aralia nudicaulis,wild sarsaparilla,Plantae,4
Phidippus audax,Bold Jumping Spider,Arachnida,4
Cantharellus,chanterelles,Fungi,4
Notophthalmus viridescens,Eastern Newt,Amphibia,4
Carabidae,Ground Beetles,Insecta,3
Jikradia olitoria,Coppery Leafhopper,Insecta,3
Micrathena gracilis,Spined Micrathena,Arachnida,3
Tamias striatus,Eastern Chipmunk,Mammalia,3
Dichanthelium clandestinum,deertongue,Plantae,3
Lycosoidea,Wolf Spiders and Allies,Arachnida,3
Elaeagnus umbellata,autumn olive,Plantae,3
Citrus,citruses,Plantae,3
Vaccinium corymbosum,Northern highbush blueberry,Plantae,3
Vaccinium macrocarpon,American Cranberry,Plantae,3
Symplocarpus foetidus,eastern skunk cabbage,Plantae,3
Eupatorium perfoliatum,common boneset,Plantae,3
Sympetrum vicinum,Autumn Meadowhawk,Insecta,3
Galium mollugo,Hedge Bedstraw,Plantae,3
Mimulus ringens,Allegheny monkeyflower,Plantae,3
Nomada,Nomad Bees,Insecta,3
Polypodium,polypody ferns,Plantae,3
Clematis virginiana,virgin's-bower,Plantae,3
Crepidula fornicata,Common Atlantic Slippersnail,Mollusca,3
Clethra alnifolia,Sweet Pepperbush,Plantae,3
Osmunda claytoniana,interrupted fern,Plantae,3
Graphocephala coccinea,Red-banded Leafhopper,Insecta,3
Juncus tenuis,Slender Path Rush,Plantae,3
Pyrrharctia isabella,Isabella Tiger Moth,Insecta,3
Impatiens pallida,pale jewelweed,Plantae,3
Neverita duplicata,Shark Eye,Mollusca,3
Ephemeroptera,Mayflies,Insecta,3
Amphicarpaea bracteata,American hog-peanut,Plantae,3
Brachycera,Brachyceran Flies,Insecta,3
Viburnum,viburnums,Plantae,3
Araneoidea,Araneoid Spiders,Arachnida,3
Galium triflorum,fragrant bedstraw,Plantae,3
Brassicaceae,mustard family,Plantae,3
Spisula solidissima,West Atlantic Surfclam,Mollusca,3
Osmunda spectabilis,royal fern,Plantae,3
Polygonatum biflorum,smooth Solomon's seal,Plantae,3
Paraphidippus aurantius,Golden Jumping Spider,Arachnida,3
Epargyreus clarus,Silver-spotted Skipper,Insecta,3
Chauliognathus marginatus,Margined Leatherwing Beetle,Insecta,3
Nomophila nearctica,Lucerne Moth,Insecta,3
Junonia coenia,Common Buckeye,Insecta,3
Viola striata,cream violet,Plantae,3
Lonicera japonica,Japanese honeysuckle,Plantae,3
Oxalis stricta,upright yellow woodsorrel,Plantae,3
Polygaloides paucifolia,fringed polygala,Plantae,3
Augochlorini,Augochlorine Sweat Bees,Insecta,3
Heliconia,Heliconias,Plantae,3
Oncopeltus fasciatus,Large Milkweed Bug,Insecta,3
Eutrochium,Joe-Pye weeds,Plantae,3
Ilex opaca,American holly,Plantae,3
Xysticus,Ground Crab Spiders,Arachnida,3
Galium aparine,catchweed bedstraw,Plantae,3
Cyanocitta cristata,Blue Jay,Aves,3
Fragaria virginiana,Virginia strawberry,Plantae,3
Zelus luridus,Pale Green Assassin Bug,Insecta,3
Ichneumonidae,Ichneumonid Wasps,Insecta,3
Hypoxis hirsuta,yellow star grass,Plantae,3
Lithobates sylvaticus,Wood Frog,Amphibia,3
Nematocera,Nematoceran Flies,Insecta,3
Carya ovata,shagbark hickory,Plantae,3
Asteromyia carbonifera,Carbonifera goldenrod gall midge,Insecta,3
Ranunculus,buttercups,Plantae,3
Persicaria sagittata,arrow-leaved tearthumb,Plantae,3
Cardamine hirsuta,hairy bittercress,Plantae,3
Persicaria virginiana,American jumpseed,Plantae,3
Neoscona,Spotted Orbweavers,Arachnida,3
Poales,"grasses, sedges, and allies",Plantae,3
Galinsoga,galinsogas,Plantae,3
Oenothera,"evening primroses, sundrops, and beeblossoms",Plantae,3
Betula nigra,river birch,Plantae,3
Cornus,dogwoods,Plantae,3
Astereae,asters and allies,Plantae,3
Rhagionidae,Snipe Flies,Insecta,3
Limoniidae,Limoniid Crane Flies,Insecta,3
Geum canadense,white avens,Plantae,3
Anemonoides quinquefolia,wood anemone,Plantae,3
Dulichium arundinaceum,Three-way Sedge,Plantae,3
Rhododendron,rhododendrons and azaleas,Plantae,3
Geranium maculatum,wild geranium,Plantae,3
Hygrocybe,Waxcaps,Fungi,3
Oxalis,woodsorrels,Plantae,3
Scarabaeidae,Scarabs,Insecta,3
Cupressaceae,cypress family,Plantae,3
Leucanthemum vulgare,oxeye daisy,Plantae,3
Eristalis transversa,Transverse-banded Flower Fly,Insecta,3
Bombus impatiens,Bumble Bees,Insecta,3
Argia,Dancers,Insecta,3
Picea,spruces,Plantae,3
Carex pensylvanica,Pennsylvania sedge,Plantae,3
Gastropoda,Gastropods,Mollusca,3
Celastrina,Holarctic Azures,Insecta,3
Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insecta,3
Meleagris gallopavo,Wild Turkey,Aves,3
Grevillea robusta,silk oak,Plantae,3
Trifolium repens,white clover,Plantae,3
Salix,willows,Plantae,3
Crataegus,hawthorns,Plantae,3
Apis mellifera,Western Honey Bee,Insecta,3
Eriobotrya japonica,Loquat,Plantae,3
Chlosyne nycteis,Silvery Checkerspot,Insecta,3
Scirpus,club-rushes and bulrushes,Plantae,3
Tipuloidea,Typical Crane Flies,Insecta,3
Potentilla canadensis,dwarf cinquefoil,Plantae,3
Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,3
Sarcophaga,Common Flesh Flies,Insecta,3
Cirsium discolor,field thistle,Plantae,3
Parmeliaceae,shield lichens and allies,Fungi,3
Sciomyzidae,Marsh Flies,Insecta,3
Tetragonisca angustula,Narrow Stingless Bee,Insecta,3
Dolichovespula maculata,Bald-faced Hornet,Insecta,3
Tenodera sinensis,Chinese Mantis,Insecta,3
Chinavia hilaris,Green Stink Bug,Insecta,3
Bryopsida,true mosses,Plantae,2
Flavoparmelia,greenshield lichens,Fungi,2
Armillaria,honey mushrooms,Fungi,2
Ancyloxypha numitor,Least Skipper,Insecta,2
Busycon carica,Knobbed Whelk,Mollusca,2
Frangula alnus,alder buckthorn,Plantae,2
Nerium oleander,oleander,Plantae,2
Buteo lineatus,Red-shouldered Hawk,Aves,2
Fulgoroidea,Planthoppers,Insecta,2
Conopholis americana,American cancer-root,Plantae,2
Oiceoptoma noveboracense,Margined Carrion Beetle,Insecta,2
Olethreutes fasciatana,Banded Olethreutes Moth,Insecta,2
Galium circaezans,licorice bedstraw,Plantae,2
Arthropoda,Arthropods,Animalia,2
Omphalotus illudens,Eastern American jack-o'-lantern,Fungi,2
Ganoderma,artist's bracket and allies,Fungi,2
Ganoderma applanatum,artist's bracket,Fungi,2
Gaylussacia baccata,black huckleberry,Plantae,2
Osmundastrum cinnamomeum,cinnamon fern,Plantae,2
Ovales,Carex sect. Ovales,Plantae,2
Andropogon gerardi,big bluestem,Plantae,2
Coptis trifolia,threeleaf goldthread,Plantae,2
Andropogon virginicus,broomsedge bluestem,Plantae,2
Geranium,geraniums and cranesbills,Plantae,2
Panax trifolius,dwarf ginseng,Plantae,2
Panellus stipticus,Luminescent Panellus,Fungi,2
Panicum virgatum,switchgrass,Plantae,2
Glechoma hederacea,ground-ivy,Plantae,2
Cornus florida,flowering dogwood,Plantae,2
Glyceria,Sweet Grass,Plantae,2
Papilionoidea,Butterflies,Insecta,2
Asclepias incarnata,swamp milkweed,Plantae,2
Goodyera pubescens,downy rattlesnake plantain,Plantae,2
Halyomorpha halys,Brown Marmorated Stink Bug,Insecta,2
Penstemon,beardtongues,Plantae,2
Crepidula,Typical Slippersnails,Mollusca,2
Calyptratae,Calyptrate Flies,Insecta,2
Anthophora terminalis,Orange-tipped Wood-digger Bee,Insecta,2
Heliconius charithonia,Zebra Longwing,Insecta,2
Hentzia,Long-jawed Jumping Spiders,Arachnida,2
Cupido comyntas,Eastern Tailed-Blue,Insecta,2
Hesperiidae,Skippers,Insecta,2
Philodromus marxi,Metallic Crab Spider,Arachnida,2
Philomycidae,Mantleslugs,Mollusca,2
Hexagenia,Giant Mayflies,Insecta,2
Phlox paniculata,fall phlox,Plantae,2
Pholiota,Scalycaps,Fungi,2
Hieracium,hawkweeds,Plantae,2
Cyclorrhapha,Muscoid Flies and Allies,Insecta,2
Phyllopalpus pulchellus,Red-headed Bush Cricket,Insecta,2
Hormaphis hamamelidis,Witch-hazel Cone Gall Aphid,Insecta,2
Adiantum pedatum,northern maidenhair fern,Plantae,2
Pieris rapae,Cabbage White,Insecta,2
Pinus rigida,pitch pine,Plantae,2
Hypercompe scribonia,Giant Leopard Moth,Insecta,2
Pisaurina mira,American Nursery Web Spider,Arachnida,2
Plantago,plantain,Plantae,2
Plantago lanceolata,ribwort plantain,Plantae,2
Platycryptus undatus,Tan Jumping Spider,Arachnida,2
Plecoptera,Stoneflies,Insecta,2
Plethodon cinereus,Eastern Red-backed Salamander,Amphibia,2
Carex folliculata,northern long sedge,Plantae,2
Hypericum perforatum,common St. John's-wort,Plantae,2
Hyphantria cunea,Fall Webworm Moth,Insecta,2
Podabrus rugosulus,Wrinkled Soldier Beetle,Insecta,2
Daucus carota,wild carrot,Plantae,2
Poecilocapsus lineatus,Four-lined Plant Bug,Insecta,2
Polistes,Umbrella Paper Wasps,Insecta,2
Delphinia picta,Common Picture-winged Fly,Insecta,2
Dendrolycopodium dendroideum,prickly tree-clubmoss,Plantae,2
Polygonatum,Solomon's-seals,Plantae,2
Dendrolycopodium hickeyi,Hickey's tree-clubmoss,Plantae,2
Polypodiopsida,ferns,Plantae,2
Populus grandidentata,bigtooth aspen,Plantae,2
Potentilla,cinquefoils,Plantae,2
Potentilla recta,sulphur cinquefoil,Plantae,2
Atta,Atta Leaf-cutter Ants,Insecta,2
Desmodium,ticktrefoils,Plantae,2
Ischnura posita,Fragile Forktail,Insecta,2
Dialictus,Metallic Sweat Bees,Insecta,2
Ixodes scapularis,Eastern Black-legged Tick,Arachnida,2
Psychodinae,Moth Flies,Insecta,2
Psyllobora vigintimaculata,Twenty-spotted Lady Beetle,Insecta,2
Apocynum,dogbanes,Plantae,2
Pucciniales,rust fungi,Fungi,2
Juglans nigra,eastern black walnut,Plantae,2
Carpinus caroliniana,American hornbeam,Plantae,2
Juncus,rushes,Plantae,2
Dicranum scoparium,broom moss,Plantae,2
Pyrus calleryana,Callery pear,Plantae,2
Juniperus virginiana,eastern redcedar,Plantae,2
Dictynidae,Meshweavers,Arachnida,2
Kalanchoideae,"Pig's Ears, Flaming Katy's, Butterbushes, and Allies",Plantae,2
Quercus rubra,northern red oak,Plantae,2
Ranunculus abortivus,small-flowered buttercup,Plantae,2
Apoidea,Bees and Apoid Wasps,Insecta,2
Raphanus raphanistrum,Jointed Charlock,Plantae,2
Castilleja,Paintbrushes,Plantae,2
Lactarius,Common Milkcaps,Fungi,2
Diplopoda,Millipedes,Animalia,2
Ambrosia trifida,giant ragweed,Plantae,2
Lactuca,lettuces,Plantae,2
Rhododendron viscosum,swamp azalea,Plantae,2
Lamiaceae,mint family,Plantae,2
Catalpa speciosa,northern catalpa,Plantae,2
Celastrus orbiculatus,Oriental bittersweet,Plantae,2
Ricinus communis,castor bean,Plantae,2
Laportea canadensis,wood nettle,Plantae,2
Dolichopodidae,Long-legged Flies,Insecta,2
Robinia pseudoacacia,black locust,Plantae,2
Celithemis elisa,Calico Pennant,Insecta,2
Rosa multiflora,multiflora rose,Plantae,2
Amelanchier,serviceberries,Plantae,2
Rubus allegheniensis,Allegheny blackberry,Plantae,2
Larus argentatus,Herring Gull,Aves,2
Rubus phoenicolasius,wineberry,Plantae,2
Celtis occidentalis,common hackberry,Plantae,2
Rudbeckia,coneflowers,Plantae,2
Rudbeckia hirta,black-eyed Susan,Plantae,2
Ammophila,Thread-waisted Sand Wasps,Insecta,2
Lavandula,Lavender,Plantae,2
Centaurea stoebe,spotted knapweed,Plantae,2
Lepidium campestre,field peppergrass,Plantae,2
Salticus scenicus,Zebra Jumping Spider,Arachnida,2
Salvia,Sages,Plantae,2
Cerastium,Mouse-ear Chickweeds,Plantae,2
Sanguinaria canadensis,bloodroot,Plantae,2
Dryopteris intermedia,intermediate wood fern,Plantae,2
Cercis canadensis,eastern redbud,Plantae,2
Leucauge,orchard spider and allies,Arachnida,2
Ductifera pululahuana,white jelly fungus,Fungi,2
Sauria,Lizards,Reptilia,2
Schizachyrium scoparium,little bluestem,Plantae,2
Echinacea purpurea,purple coneflower,Plantae,2
Libellulidae,Skimmers,Insecta,2
Sciaridae,Dark-winged Fungus Gnats,Insecta,2
Scirpus,bulrush,Plantae,2
Sciurus deppei,Deppe's Squirrel,Mammalia,2
Scleroderma,earthballs,Fungi,2
Scleroderma citrinum,common earthball,Fungi,2
Scolia bicincta,Double-banded Scoliid Wasp,Insecta,2
Scoliidae,Scoliid Wasps,Insecta,2
Scudderia,Scudder's Bush Katydids,Insecta,2
Scutellinia,Eyelash cups,Fungi,2
Ellychnia,Diurnal Fireflies,Insecta,2
Sebacina schweinitzii,jellied false coral fungus,Fungi,2
Securigera varia,purple crownvetch,Plantae,2
Sedum ternatum,woodland stonecrop,Plantae,2
Limax maximus,Leopard Slug,Mollusca,2
Elymus hystrix,bottlebrush grass,Plantae,2
Setaria,foxtails and bristlegrasses,Plantae,2
Linaria vulgaris,common toadflax,Plantae,2
Sisyrinchium,blue-eyed grasses,Plantae,2
Liquidambar styraciflua,American sweetgum,Plantae,2
Chaetopsis,Banded-wing Flies,Insecta,2
Lithobates catesbeianus,American Bullfrog,Amphibia,2
Chalybion,Blue Mud-dauber Wasps,Insecta,2
Solanum,nightshades,Plantae,2
Empididae,Dance Flies,Insecta,2
Solidago caesia,bluestem goldenrod,Plantae,2
Lobelia cardinalis,cardinal flower,Plantae,2
Solidago juncea,early goldenrod,Plantae,2
Solidago nemoralis,field goldenrod,Plantae,2
Solidago rugosa,common wrinkle-leaved goldenrod,Plantae,2
Lobelia laxiflora,Sierra Madre lobelia,Plantae,2
Ageratina,snakeroots,Plantae,2
Sparganium,bur-reeds,Plantae,2
Amphibolips cookii,Oak Apple Gall Wasp,Insecta,2
Lophocampa caryae,Hickory Tussock Moth,Insecta,2
Lotus corniculatus,bird's-foot trefoil,Plantae,2
Lunarca ovalis,Blood Ark,Mollusca,2
Epifagus virginiana,Beechdrops,Plantae,2
Chelidonium majus,Greater celandine,Plantae,2
Lycogala epidendrum,Wolf's Milk,Protozoa,2
Lycopodium clavatum,stag's-horn clubmoss,Plantae,2
Succineidae,Amber Snails,Mollusca,2
Sylvilagus floridanus,Eastern Cottontail,Mammalia,2
Acari,Mites and Ticks,Arachnida,2
Lycorma delicatula,Spotted Lanternfly,Insecta,2
Anaphalis margaritacea,pearly everlasting,Plantae,2
Lygus lineolaris,North American Tarnished Plant Bug,Insecta,2
Equisetum arvense,field horsetail,Plantae,2
Tetraopes tetrophthalmus,Red Milkweed Beetle,Insecta,2
Lysimachia terrestris,swamp candles,Plantae,2
Ericaceae,heathers,Plantae,2
Thuja occidentalis,northern whitecedar,Plantae,2
Maevia inclemens,Dimorphic Jumping Spider,Arachnida,2
Tiarella stolonifera,heartleaf foamflower,Plantae,2
Malacosoma americana,Eastern Tent Caterpillar Moth,Insecta,2
Tilia americana,basswood,Plantae,2
Chortophaga viridifasciata,Green-striped Grasshopper,Insecta,2
Argemone,prickly poppies,Plantae,2
Trametes gibbosa,Lumpy Bracket,Fungi,2
Trichaptum biforme,violet-toothed polypore,Fungi,2
Melampyrum lineare,narrowleaf cow wheat,Plantae,2
Erythemis simplicicollis,Eastern Pondhawk,Insecta,2
Trichoptera,Caddisflies,Insecta,2
Trifolium pratense,red clover,Plantae,2
Cicadellidae,Typical Leafhoppers,Insecta,2
Trillium erectum,red trillium,Plantae,2
Trillium undulatum,painted trillium,Plantae,2
Cicindela sexguttata,Six-spotted Tiger Beetle,Insecta,2
Circaea,enchanter's nightshades,Plantae,2
Trixis inula,Mexican Trixis,Plantae,2
Anaxyrus,North American Toads,Amphibia,2
Membracidae,Typical Treehoppers,Insecta,2
Merodon equestris,Narcissus Bulb Fly,Insecta,2
Mesarion,Dusky Slugs,Mollusca,2
Ulmus,elms,Plantae,2
Umbilicaria,Rock Tripes,Fungi,2
Metcalfa pruinosa,Citrus Flatid Planthopper,Insecta,2
Argiope aurantia,Yellow Garden Spider,Arachnida,2
Microcrambus elegans,Elegant Grass-veneer,Insecta,2
Mimosa,sensitive plants,Plantae,2
Anaxyrus americanus,American Toad,Amphibia,2
Argopecten irradians,Atlantic Bay Scallop,Mollusca,2
Mollusca,Molluscs,Mollusca,2
Vernonia,ironweeds,Plantae,2
Eurybia,wood asters,Plantae,2
Eurybia divaricata,White Wood Aster,Plantae,2
Viburnum prunifolium,Blackhaw,Plantae,2
Muscidae,House Flies and Allies,Insecta,2
Alticini,Flea Beetles,Insecta,2
Viola sororia,common blue violet,Plantae,2
Wigandia urens,fiberglass plant,Plantae,2
Myosotis scorpioides,water forget-me-not,Plantae,2
Brugmansia,angel's trumpets,Plantae,2
Xanthogramma flavipes,American Harlequin,Insecta,2
Xylocopa,Large Carpenter Bees,Insecta,2
Flatormenis proxima,Northern Flatid Planthopper,Insecta,2
Packera aurea,golden ragwort,Plantae,1
Packera glabella,Butterweed,Plantae,1
Paeoniaceae,peony family,Plantae,1
Paleosuchus palpebrosus,Cuvier's Dwarf Caiman,Reptilia,1
Palthis angulalis,Dark-spotted Palthis Moth,Insecta,1
Papaveraceae,poppy family,Plantae,1
Papilio,Common Swallowtails,Insecta,1
Papilio troilus,Spicebush Swallowtail,Insecta,1
Paracanthurus hepatus,Palette Tang,Actinopterygii,1
Parajulidae,Parajulid millipedes,Animalia,1
Parapoynx allionealis,Watermilfoil Leafcutter Moth,Insecta,1
Paraulacizes irrorata,Speckled Sharpshooter,Insecta,1
Parrhasius m-album,White M Hairstreak,Insecta,1
Parthenocissus quinquefolia,Virginia creeper,Plantae,1
Passer domesticus,House Sparrow,Aves,1
Pastinaca sativa,wild parsnip,Plantae,1
Paulownia tomentosa,princess tree,Plantae,1
Pelecinus polyturator,American Pelecinid Wasp,Insecta,1
Pelegrina,White-cheeked Jumping Spiders,Arachnida,1
Pelegrina galathea,Peppered Jumping Spider,Arachnida,1
Pelidnota,Precious Metal Scarabs,Insecta,1
Pennisetum,fountain grasses,Plantae,1
Penstemon digitalis,foxglove beardtongue,Plantae,1
Penthe pimelia,Velvety bark beetle,Insecta,1
Penthimia americana,"Cicadas, Hoppers, and Spittlebugs",Insecta,1
Perlodidae,Stripetail and Springfly Stoneflies,Insecta,1
Persea americana,Avocado,Plantae,1
Persicaria capitata,pink knotweed,Plantae,1
Persicaria lapathifolia,pale smartweed,Plantae,1
Persicaria perfoliata,mile-a-minute weed,Plantae,1
Petrophila canadensis,Canadian Petrophila Moth,Insecta,1
Pezizaceae,"Pezizas, Desert Truffles, and Allies",Fungi,1
Pezizomycotina,Higher Ascomycetes,Fungi,1
Phacocystis,Carex sect. Phacocystis,Plantae,1
Phaeophyceae,brown algae,Chromista,1
Phasianus colchicus,Ring-necked Pheasant,Aves,1
Phasmida,Stick Insects,Insecta,1
Phelsuma grandis,Madagascar Giant Day Gecko,Reptilia,1
Phidippus princeps,Grayish Jumping Spider,Arachnida,1
Philadelphus,mock oranges,Plantae,1
Philanthus gibbosus,Humped Beewolf,Insecta,1
Philodromidae,Running Crab Spiders,Arachnida,1
Philopotamidae,Fingernet Caddisflies,Insecta,1
Phyciodes tharos,Crescents,Insecta,1
Phyciodes tharos,Pearl Crescent,Insecta,1
Phyllobates aurotaenia,Kokoe Poison Frog,Amphibia,1
Phyllobates bicolor,Black-legged Poison Frog,Amphibia,1
Phyllobates vittatus,Golfo Dulce Poison Dart Frog,Amphibia,1
Phyllotopsis nidulans,Stinking Orange Oyster,Fungi,1
Phymatinae,Ambush Bugs,Insecta,1
Physalis,groundcherries,Plantae,1
Physcia millegrana,rosette lichen,Fungi,1
Picea mariana,black spruce,Plantae,1
Picea pungens,blue spruce,Plantae,1
Picea rubens,red spruce,Plantae,1
